"","rank","population","metro"
"1","1","20182305","New York"
"2","2","13340068","Los Angeles"
"3","3","9551031","Chicago"
"4","4","7102796","Dallas"
"5","5","6656947","Houston"
"6","6","6097684","Washington"
"7","7","6069875","Philadelphia"
"8","8","6012331","Miami"
"9","9","5710795","Atlanta"
"10","10","4774321","Boston"
"11","11","4656132","San Francisco"
"12","12","4574531","Phoenix"
"13","13","4489159","Riverside"
"14","14","4302043","Detroit"
"15","15","3733580","Seattle"
"16","16","3524583","Minneapolis"
"17","17","3299521","San Diego"
"18","18","2975225","Tampa"
"19","19","2814330","Denver"
"20","20","2811588","St. Louis"
"21","21","2797407","Baltimore"
"22","22","2426363","Charlotte"
"23","23","2389228","Portland"
"24","24","2387138","Orlando"
"25","25","2384075","San Antonio"
"26","26","2353045","Pittsburgh"
"27","27","2274194","Sacramento"
"28","28","2157719","Cincinnati"
"29","29","2114801","Las Vegas"
"30","30","2087471","Kansas City"
"31","31","2060810","Cleveland"
"32","32","2021632","Columbus"
"33","33","2000860","Austin"
"34","34","1988817","Indianapolis"
"35","35","1976836","San Jose"
"36","36","1830345","Nashville"
"37","37","1724876","Virginia Beach"
"38","38","1613070","Providence"
"39","39","1575747","Milwaukee"
"40","40","1449481","Jacksonville"
"41","41","1358452","Oklahoma City"
"42","42","1344127","Memphis"
"43","43","1278413","Louisville"
"44","44","1273568","Raleigh"
"45","45","1271334","Richmond"
"46","46","1262888","New Orleans"
"47","47","1211324","Hartford"
"48","48","1170266","Salt Lake City"
"49","49","1145647","Birmingham"
"50","50","1135230","Buffalo"
"51","51","1081954","Rochester"
"52","52","1038583","Grand Rapids"
"53","53","1010025","Tucson"
"54","54","998714","Urban Honolulu"
"55","55","981005","Tulsa"
"56","56","974861","Fresno"
"57","57","948053","Bridgeport"
"58","58","935536","Worcester"
"59","59","915312","Omaha"
"60","60","907301","Albuquerque"
"61","61","882176","Bakersfield"
"62","62","881830","Albany"
"63","63","874869","Greenville"
"64","64","861424","Knoxville"
"65","65","859470","New Haven"
"66","66","850536","Oxnard"
"67","67","842304","McAllen"
"68","68","838972","El Paso"
"69","69","832327","Allentown"
"70","70","830480","Baton Rouge"
"71","71","810068","Columbia"
"72","72","800909","Dayton"
"73","73","768918","North Port"
"74","74","752157","Greensboro"
"75","75","744526","Charleston"
"76","76","731612","Little Rock"
"77","77","726106","Stockton"
"78","78","704243","Akron"
"79","79","701982","Cape Coral"
"80","80","697856","Colorado Springs"
"81","81","676909","Boise City"
"82","82","660458","Syracuse"
"83","83","659330","Winston"
"84","84","650092","Lakeland"
"85","85","646833","Toledo"
"86","86","644610","Wichita"
"87","87","642850","Ogden"
"88","88","641385","Madison"
"89","89","631982","Springfield"
"90","90","623279","Deltona"
